Name,Age,Position,Selections,Goals scored,Assists,Market value,Current club,Club league,YC,RC,Top 5 League,Minutes played,Youth Team,Youth Team Country,Senior Debut,Senior Debut Country
Horatiu Moldovan,26,Goalkeeper,10,0,0,2500000,Atletico Madrid,Spain,0,0,X,900,CFR Cluj,Romania,CFR Cluj,Romania
Nita Florin,36,Goalkeeper,20,0,0,225000,Gaziantep,Turkey,1,0,-,1729,FCSB,Romania,Concordia Chiajna,Romania
Tarnovanu Stefan,23,Goalkeeper,1,0,0,2800000,FCSB,Romania,0,0,-,90,Politehnica Iasi,Romania,Politehnica Iasi,Romania
Ratiu Andrei,25,Defender,16,1,1,1500000,Rayo Vallecano,Spain,2,0,X,1395,Villareal,Spain,Villareal,Spain
Manea Cristian,26,Defender,26,2,1,3200000,CFR Cluj,Romania,2,0,-,1446,Viitorul Constanta,Romania,Viitorul Constanta,Romania
Burca Andrei,31,Defender,27,1,1,3200000,Al-Okhdood,Saudi Arabia,6,0,-,2282,FCM Bacau,Romania,Aerostar Bacau,Romania
Dragusin Radu,22,Defender,15,0,0,25000000,Tottenham Hotspur,England,2,0,X,1030,Sportul Studentesc,Romania,Juventus,Italy
Nedelcearu Ionut,27,Defender,26,2,1,1100000,Palermo,Italy B,2,0,-,1754,Dinamo Bucuresti,Romania,Dinamo Bucuresti,Romania
Rus Adrian,28,Defender,19,1,1,700000,Pafos,Cyprus,2,0,-,1261,Olimpia Satu Mare,Romania,Olimpia Satu Mare,Romania
Racovitan Bogdan,23,Defender,1,0,0,1500000,Rakow Czestochowa,Poland,0,0,-,15,Dijon,France,Dijon,France
Bancu Nicusor,31,Defender,34,2,7,1500000,Universitatea Craiova,Romania,9,0,-,2868,Olt Slatina,Romania,Olt Slatina,Romania
Sorescu Deian,26,Defender,16,0,2,1000000,Gaziantep,Turkey,2,0,-,978,Poli Timisoara,Romania,Poli Timisoara,Romania
Screciu Vladimir,24,Midfielder,4,0,0,2400000,Universitatea Craiova,Romania,0,0,-,328,FC U Craiova,Romania,Universitatea Craiova,Romania
Marin Marius,25,Midfielder,16,0,0,1600000,Pisa,Italy B,5,0,-,968,Poli Timisoara,Romania,Poli Timisoara,Romania
Marin Razvan,27,Midfielder,54,3,8,2500000,Empoli,Italy,8,0,X,4151,Viitorul Constanta,Romania,Viitorul Constanta,Romania
Sut Adrian,24,Midfielder,1,0,0,2300000,FCSB,Romania,0,0,-,15,ASA Tg. Mures,Romania,ASA Tg. Mures,Romania
Stanciu Nicusor,30,Midfielder,64,14,8,5000000,Damac,Saudi Arabia,8,0,-,5096,Unirea Alba Iulia,Romania,Unirea Alba Iulia,Romania
Olaru Darius,26,Midfielder,16,0,0,6500000,FCSB,Romania,2,0,-,724,Gaz Metan Medias,Romania,Gaz Metan Medias,Romania
Man Denis,25,Forward,22,7,2,6500000,Parma,Italy B,0,0,-,1202,UTA Arad,Romania,FCSB,Romania
Puscas George,28,Forward,41,11,4,2000000,Bari,Italy B,8,1,-,2402,Bihor Oradea,Romania,Bihor Oradea,Romania
Alibec Denis,33,Forward,37,5,0,800000,Muaither,Qatar,0,0,-,1737,Farul Constanta,Romania,Farul Constanta,Romania
Tanase Florin,29,Forward,18,3,1,3200000,Al-Okhdood,Saudi Arabia,0,1,-,812,Viitorul Constanta,Romania,Viitorul Constanta,Romania
Coman Florinel,26,Forward,13,1,1,6000000,FCSB,Romania,1,0,-,761,Viitorul Constanta,Romania,Viitorul Constanta,Romania
Mihaila Valentin,24,Forward,19,4,0,2000000,Parma,Italy B,2,1,-,712,Universitatea Craiova,Romania,Universitatea Craiova,Romania
Dragus Denis,24,Forward,9,2,0,3000000,Gaziantep,Turkey,1,0,-,443,Viitorul Constanta,Romania,Viitorul Constanta,Romania
